name,cpu_time_us,package_energy,core_energy
MergeSort,101208004,142725404,15518376
FrogJump,12488296,37690089,3963403
Life - sequential generation,3407319,10098912,1045403
Life - parallel iterators generation,7101403,6571699,622832
Life - parallel bridge generation,1655245667,1418793792,125264818
NBody parallel iterator,364075,446349,42381
NBody parallel reduce,1628374,1746883,155738
NBody sequential,1519396,4272023,438620
QuickSort,355101,908506,90147
Travelling Salesman Problem,39821,198913,19966
MergeSort,110905074,138747997,15494111
FrogJump,14254225,38789085,4090409
Life - sequential generation,3568898,10228490,1066486
Life - parallel iterators generation,6613168,6483138,613423
Life - parallel bridge generation,1660208265,1478153443,141567671
NBody parallel iterator,457869,456969,44172
NBody parallel reduce,1737839,1666560,147706
NBody sequential,1501367,4477161,475723
QuickSort,349774,815855,83339
Travelling Salesman Problem,35316,205260,10128
MergeSort,108803278,139991280,14286543
FrogJump,13808864,38451379,4147662
Life - sequential generation,3440595,10113438,1092007
Life - parallel iterators generation,6871255,6387069,623918
Life - parallel bridge generation,1567621013,1410179312,137465406
NBody parallel iterator,477484,448852,43422
NBody parallel reduce,1369599,1748652,158477
NBody sequential,1486264,4550037,487580
QuickSort,347520,999997,104590
Travelling Salesman Problem,35986,203979,20685
MergeSort,106760138,146351981,15764371
FrogJump,17695883,36895718,4042658
Life - sequential generation,3534246,10107335,1113182
Life - parallel iterators generation,6697290,6373702,635318
Life - parallel bridge generation,1577266812,1818115890,175270374
NBody parallel iterator,334573,461546,43697
NBody parallel reduce,1495966,1659480,150063
NBody sequential,1513708,4466358,478446
QuickSort,337312,919798,95410
Travelling Salesman Problem,37349,196899,21053
MergeSort,108183244,140242316,14644548
FrogJump,15387069,39144919,4250477
Life - sequential generation,3420887,10548435,1116564
Life - parallel iterators generation,6521823,6390670,641744
Life - parallel bridge generation,1714756814,1354919932,133106343
NBody parallel iterator,285080,468566,47491
NBody parallel reduce,1432411,1657100,149205
NBody sequential,1493895,4435536,481935
QuickSort,350124,919004,96421
Travelling Salesman Problem,45761,203307,21374
MergeSort,113057374,159858173,17806538
FrogJump,20166296,38642051,4200951
Life - sequential generation,3426669,10282200,1125330
Life - parallel iterators generation,6821786,6408675,639020
Life - parallel bridge generation,1517057011,1307885201,118544323
NBody parallel iterator,178946,462645,46053
NBody parallel reduce,1888336,1642818,145472
NBody sequential,1486640,4463428,470398
QuickSort,354054,921750,93009
Travelling Salesman Problem,36002,200195,20884
MergeSort,110606272,144721980,14914226
FrogJump,16637303,40309711,4243485
Life - sequential generation,3505886,10703708,1075697
Life - parallel iterators generation,6841426,6394149,610272
Life - parallel bridge generation,1580860287,1307371348,125867791
NBody parallel iterator,144934,453184,45120
NBody parallel reduce,1516487,1774226,154897
NBody sequential,1525616,4503590,474316
QuickSort,344555,816709,81672
Travelling Salesman Problem,35672,199707,20257
MergeSort,116130426,146119866,14704707
FrogJump,27918109,55964090,6037808
Life - sequential generation,3519474,10155553,1072790
Life - parallel iterators generation,6949343,6535566,625402
Life - parallel bridge generation,1545178332,1310727113,124817308
NBody parallel iterator,273616,451231,44279
NBody parallel reduce,1529285,1755733,155157
NBody sequential,1492785,4527576,461219
QuickSort,339278,904417,91371
Travelling Salesman Problem,35334,196594,20211
MergeSort,113144591,137568312,14179581
FrogJump,16524700,37899806,3961415
Life - sequential generation,3400261,10243138,1072147
Life - parallel iterators generation,6960051,6374373,611342
Life - parallel bridge generation,1513851230,1710550431,163495815
NBody parallel iterator,317427,461303,44998
NBody parallel reduce,1770443,1641048,155662
NBody sequential,1493888,4462268,464172
QuickSort,346077,1005308,93284
Travelling Salesman Problem,38920,110778,10526
MergeSort,111082431,157107630,24369381
FrogJump,21012921,39276145,4174101
Life - sequential generation,3471111,10202427,1066257
Life - parallel iterators generation,6637751,6382308,605451
Life - parallel bridge generation,1476519167,2020879897,194778884
NBody parallel iterator,242203,568846,54208
NBody parallel reduce,1458013,1751400,156014
NBody sequential,1502145,4730884,467155
QuickSort,320962,919431,90147
Travelling Salesman Problem,35654,96496,9915
MergeSort,108197120,145962944,19870921
FrogJump,23284843,38494348,3988297
Life - sequential generation,3403475,10200292,1042634
Life - parallel iterators generation,6827741,6390121,618273
Life - parallel bridge generation,1522350041,1364789780,126228718
NBody parallel iterator,279547,455810,42840
NBody parallel reduce,1597699,1774654,151792
NBody sequential,1491551,4519764,449529
QuickSort,348218,919126,88817
