name,cpu_time_us,package_energy,core_energy
MergeSort,70427811,125529220,14698557
FrogJump,14487152,30127364,3363996
Life - sequential generation,1967962,8752114,1011100
Life - parallel iterators generation,7154401,6251632,602544
Life - parallel bridge generation,1624507637,1777596097,161300494
NBody parallel iterator,401153,443908,43483
NBody parallel reduce,1577875,1854854,168330
NBody sequential,878449,3919423,444848
QuickSort,229858,847838,89352
Travelling Salesman Problem,19251,86364,9730
MergeSort,70520630,123655079,13143649
FrogJump,7711180,28922534,3347105
Life - sequential generation,2036419,9408484,1000024
Life - parallel iterators generation,7093034,6388778,612321
Life - parallel bridge generation,1651492851,1332602057,117952764
NBody parallel iterator,144786,438902,42029
NBody parallel reduce,1372307,1869990,154423
NBody sequential,816817,3842702,433648
QuickSort,220555,751158,78228
Travelling Salesman Problem,26258,90943,9777
MergeSort,70282456,127460489,14174945
FrogJump,12011821,30302962,3403684
Life - sequential generation,1920664,9319434,998065
Life - parallel iterators generation,7083215,6329452,604549
Life - parallel bridge generation,1527683669,1429843690,134904369
NBody parallel iterator,371315,453795,41907
NBody parallel reduce,1645190,1751827,153459
NBody sequential,856323,3751151,445827
QuickSort,237703,793577,88801
Travelling Salesman Problem,19088,86609,10052
MergeSort,71494422,117320073,14346229
FrogJump,9060149,29536546,3357983
Life - sequential generation,2036857,8460000,1017465
Life - parallel iterators generation,6867692,6588179,645583
Life - parallel bridge generation,1665602669,1286811952,113566973
NBody parallel iterator,256050,440367,42060
NBody parallel reduce,1349496,1755000,155968
NBody sequential,893864,3837575,442506
QuickSort,256131,754087,79667
Travelling Salesman Problem,19770,184631,9960
MergeSort,71455940,133083704,14104443
FrogJump,7946099,29710129,3347594
Life - sequential generation,1999318,8717934,999717
Life - parallel iterators generation,6680031,6596113,662536
Life - parallel bridge generation,1695395765,1886859062,186227072
NBody parallel iterator,122173,554197,52464
NBody parallel reduce,1428496,1505551,144356
NBody sequential,791443,3852590,437932
QuickSort,226963,840391,90101
Travelling Salesman Problem,20526,186706,19874
MergeSort,70056344,122050591,13532973
FrogJump,11419970,48708799,5375594
Life - sequential generation,1914634,8740700,998310
Life - parallel iterators generation,7064293,6370956,634751
Life - parallel bridge generation,1718392582,1524677005,156837882
NBody parallel iterator,341134,458190,42259
NBody parallel reduce,1646247,1620845,140301
NBody sequential,844015,4133412,434796
QuickSort,252248,880674,90912
Travelling Salesman Problem,22700,190185,10052
MergeSort,68948411,128549171,19263388
FrogJump,7940226,29880539,3382203
Life - sequential generation,1942467,8605569,1001935
Life - parallel iterators generation,6918936,6480819,641651
Life - parallel bridge generation,1742809375,1957716668,182059627
NBody parallel iterator,397186,556090,43452
NBody parallel reduce,1571482,1641353,140868
NBody sequential,857155,4132130,432531
QuickSort,228817,866514,85910
Travelling Salesman Problem,19198,191406,19874
MergeSort,71022668,124340929,13606611
FrogJump,18726684,30786420,3477614
Life - sequential generation,1985871,9494483,1011269
Life - parallel iterators generation,6706420,5643418,566575
Life - parallel bridge generation,1850385275,1841690354,162753765
NBody parallel iterator,235811,452696,42519
NBody parallel reduce,1272264,1767452,154347
NBody sequential,832405,4112294,431858
QuickSort,228919,860532,95166
Travelling Salesman Problem,22349,188965,19691
MergeSort,71179095,137605727,22854054
FrogJump,8881443,30047531,3301878
Life - sequential generation,2030488,9645178,1005072
Life - parallel iterators generation,6954033,6403304,630069
Life - parallel bridge generation,1517754195,1405867495,132154117
NBody parallel iterator,244296,429320,41906
NBody parallel reduce,1465050,1655147,142795
NBody sequential,843420,3809988,427880
QuickSort,242378,795225,84257
Travelling Salesman Problem,40479,183288,19324
MergeSort,70317875,133322412,22333456
FrogJump,7769726,47695862,5387053
Life - sequential generation,1923133,9281714,984249
Life - parallel iterators generation,5957305,5958176,604962
Life - parallel bridge generation,2106711195,1335432251,131304340
NBody parallel iterator,124459,442504,42626
NBody parallel reduce,1471741,1648128,143315
NBody sequential,817213,3780386,432960
QuickSort,231231,822935,96084
Travelling Salesman Problem,18775,88135,9823
MergeSort,69833898,130700471,14015795
FrogJump,10985479,29926864,3365358
Life - sequential generation,1949660,8682412,1001584
Life - parallel iterators generation,6798810,6389144,633450
Life - parallel bridge generation,2351354418,1374215903,131224826
NBody parallel iterator,82199,448669,41571
NBody parallel reduce,1611478,1648067,143591
NBody sequential,827336,3752798,428124
QuickSort,238669,835752,88969
Travelling Salesman Problem,24346,167541,19462
MergeSort,71568774,123054312,13719326
FrogJump,7617101,30325667,3400073
Life - sequential generation,1962321,8573160,984830
Life - parallel iterators generation,6454229,6114669,589081
Life - parallel bridge generation,1585367541,1391520059,132706371
NBody parallel iterator,261432,549376,42503
NBody parallel reduce,1576566,1744807,155387
NBody sequential,794238,4174488,445046
QuickSort,237921,858213,90270
Travelling Salesman Problem,19890,164611,19737
MergeSort,70568853,113800124,12763673
FrogJump,7719408,29004931,3311792
Life - sequential generation,1935616,9374671,998202
Life - parallel iterators generation,6722162,6326400,606753
Life - parallel bridge generation,1544181610,1713105051,165742987
NBody parallel iterator,127173,442076,53473
NBody parallel reduce,1390981,1632503,144447
NBody sequential,832298,3735098,431981
QuickSort,227857,821714,89934
Travelling Salesman Problem,19567,187561,19691
MergeSort,69413017,126493695,13424633
FrogJump,7854506,28770007,3415174
Life - sequential generation,2080660,8118571,1006005
Life - parallel iterators generation,6972453,6339950,605864
Life - parallel bridge generation,1545817926,1286267153,112727157
NBody parallel iterator,82421,453124,41509
NBody parallel reduce,1299857,1756404,152771
NBody sequential,881903,3814322,427681
QuickSort,241615,834959,88648
Travelling Salesman Problem,37826,192748,19416
MergeSort,76123745,122572257,13673534
FrogJump,7941877,29696640,3374017
Life - sequential generation,2026560,8582009,1002195
Life - parallel iterators generation,5850270,6665327,635776
Life - parallel bridge generation,1446524197,1323578704,121584250
NBody parallel iterator,41703,456786,41922
NBody parallel reduce,1376215,1760188,153260
NBody sequential,845341,4165883,430450
QuickSort,237441,876096,89826
Travelling Salesman Problem,19583,181457,19538
MergeSort,70782955,127048015,14126429
FrogJump,7500365,29348863,3225530
Life - sequential generation,1964220,8634255,994285
Life - parallel iterators generation,7200652,6447738,608955
Life - parallel bridge generation,1598138458,1446788593,134113374
NBody parallel iterator,123349,422179,41601
NBody parallel reduce,1665486,1510189,141785
NBody sequential,861434,4109548,428875
QuickSort,234553,854673,88924
Travelling Salesman Problem,21984,90576,9822
