name,cpu_time_us,package_energy,core_energy
MergeSort,19956190,73024593,9161549
FrogJump,4033794,19175427,2298381
Life - sequential generation,73314,3936574,384275
Life - parallel iterators generation,15921061,13025540,1207629
Life - parallel bridge generation,1505046524,1169603146,105823307
NBody parallel iterator,747957,775267,75383
NBody parallel reduce,4630716,3709097,343669
NBody sequential,41070,1910456,184334
QuickSort,542794,811705,92519
Travelling Salesman Problem,11755,88012,9823
MergeSort,22230799,68820319,7748807
FrogJump,14081822,21797369,2674424
Life - sequential generation,72564,3892629,375339
Life - parallel iterators generation,16834770,13790431,1326234
Life - parallel bridge generation,1320253109,1250832613,115758546
NBody parallel iterator,672673,656553,64979
NBody parallel reduce,4466323,3801260,353920
NBody sequential,40321,1892756,182544
QuickSort,479763,856383,95855
Travelling Salesman Problem,12190,80261,9777
MergeSort,23463010,71722107,7839873
FrogJump,4896271,19473644,2500831
Life - sequential generation,73148,3942006,381383
Life - parallel iterators generation,16128725,12913542,1261745
Life - parallel bridge generation,1883963718,1507428758,136531295
NBody parallel iterator,648404,761534,66417
NBody parallel reduce,4323147,3697866,346071
NBody sequential,37692,1891109,182620
QuickSort,481048,750975,84807
Travelling Salesman Problem,11164,83801,9822
MergeSort,19302660,73208126,12733394
FrogJump,4591527,20149363,2507716
Life - sequential generation,73091,3879567,379547
Life - parallel iterators generation,15811567,13090238,1285123
Life - parallel bridge generation,1368839561,1170569269,105542644
NBody parallel iterator,672492,655943,76271
NBody parallel reduce,4277921,3816579,353935
NBody sequential,40000,1865290,184518
QuickSort,501677,766050,84517
Travelling Salesman Problem,11307,121765,9180
MergeSort,23473568,88795732,19108476
FrogJump,8762700,34306919,4570003
Life - sequential generation,72619,3894643,376885
Life - parallel iterators generation,16229177,13328029,1287265
Life - parallel bridge generation,1336483912,1130605565,101045163
NBody parallel iterator,633154,674742,64153
NBody parallel reduce,4405716,3779226,339369
NBody sequential,36738,1780941,177220
QuickSort,522033,729246,79973
Travelling Salesman Problem,10895,165100,19278
MergeSort,21764247,84820522,15427020
FrogJump,4726427,20927803,2695202
Life - sequential generation,73030,3833486,372157
Life - parallel iterators generation,15660003,12915372,1260001
Life - parallel bridge generation,1528442642,1107071751,99023160
NBody parallel iterator,651027,749205,74480
NBody parallel reduce,4411148,4000966,372723
NBody sequential,37601,1812007,177587
QuickSort,517716,806456,93697
Travelling Salesman Problem,10874,74036,9731
MergeSort,21997215,87687336,16100267
FrogJump,4438466,19707591,2505084
Life - sequential generation,74192,3924245,414982
Life - parallel iterators generation,15613120,13199917,1296660
Life - parallel bridge generation,1307016128,1127832989,100867285
NBody parallel iterator,639190,772764,64337
NBody parallel reduce,4494740,4652210,435025
NBody sequential,38857,1962397,227725
QuickSort,485978,838865,91173
Travelling Salesman Problem,10962,155884,19707
MergeSort,23703833,77529648,9620012
FrogJump,4373648,19975535,2508313
Life - sequential generation,74207,3908620,389737
Life - parallel iterators generation,16672802,12823819,1262984
Life - parallel bridge generation,1478343143,1227206758,113977962
NBody parallel iterator,647473,672057,64260
NBody parallel reduce,4488129,4101124,391007
NBody sequential,38880,1802364,175491
QuickSort,476045,853697,93039
Travelling Salesman Problem,11496,61340,10281
MergeSort,21479030,82076633,15801014
FrogJump,4621895,21732733,2885335
Life - sequential generation,73464,4824023,697863
Life - parallel iterators generation,15948160,12887723,1248771
Life - parallel bridge generation,1393219744,1712183849,156053834
NBody parallel iterator,688125,644041,62638
