name,machine_id,cpu_time_us,package_energy,core_energy
MergeSort,dahu-13.grenoble.grid5000.fr,125291,903623,83033
FrogJump,dahu-13.grenoble.grid5000.fr,1906644,14454065,1426633
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73260,5102404,561954
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2442054,4367237,295826
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,153953,354430,24052
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,825477,1621578,102188
NBody sequential,dahu-13.grenoble.grid5000.fr,34813,2112116,231611
QuickSort,dahu-13.grenoble.grid5000.fr,185746,733092,59287
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8976,116821,7620
MergeSort,dahu-13.grenoble.grid5000.fr,113709,1049314,108217
FrogJump,dahu-13.grenoble.grid5000.fr,1956562,14475183,1415786
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73134,3908925,309764
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2475324,4482472,311279
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,161919,355773,23486
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,787147,1697688,110895
NBody sequential,dahu-13.grenoble.grid5000.fr,34650,2184443,239736
QuickSort,dahu-13.grenoble.grid5000.fr,179740,762022,74128
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,9550,79772,7849
MergeSort,dahu-13.grenoble.grid5000.fr,132690,986692,91907
FrogJump,dahu-13.grenoble.grid5000.fr,1956703,15156394,1484390
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72045,3974110,314094
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2451612,4475025,304807
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,155282,364196,23455
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,794683,1732234,110664
NBody sequential,dahu-13.grenoble.grid5000.fr,35340,1732783,136139
QuickSort,dahu-13.grenoble.grid5000.fr,173319,699583,57773
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8300,164917,15973
MergeSort,dahu-13.grenoble.grid5000.fr,118947,1577877,143590
FrogJump,dahu-13.grenoble.grid5000.fr,1996434,15042076,1473849
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73288,3908865,309657
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2423942,4491932,330158
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,149633,348449,25276
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,816696,1712825,116525
NBody sequential,dahu-13.grenoble.grid5000.fr,34163,2137568,235513
QuickSort,dahu-13.grenoble.grid5000.fr,185602,811766,66938
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,9189,89721,7803
MergeSort,dahu-13.grenoble.grid5000.fr,125496,963987,93147
FrogJump,dahu-13.grenoble.grid5000.fr,1891887,14919944,1483748
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72540,4922656,557272
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2400480,4371082,324008
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,153305,343627,25551
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,804600,1632992,108508
NBody sequential,dahu-13.grenoble.grid5000.fr,33201,2206293,209197
QuickSort,dahu-13.grenoble.grid5000.fr,181471,834654,67733
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,7929,86731,7894
MergeSort,dahu-13.grenoble.grid5000.fr,115880,1071835,101179
FrogJump,dahu-13.grenoble.grid5000.fr,1908921,14755882,1457661
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73977,3968496,311599
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2504279,4442005,329730
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,154977,360411,25169
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,815178,1590023,108936
NBody sequential,dahu-13.grenoble.grid5000.fr,33942,2283624,247125
QuickSort,dahu-13.grenoble.grid5000.fr,186940,796202,66417
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8720,97290,7711
MergeSort,dahu-13.grenoble.grid5000.fr,124443,990110,92825
FrogJump,dahu-13.grenoble.grid5000.fr,1995623,14944603,1479342
Life - sequential generation,dahu-13.grenoble.grid5000.fr,74029,4946704,555849
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2468500,4465565,330786
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,147627,238769,17090
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,835473,1720028,116877
NBody sequential,dahu-13.grenoble.grid5000.fr,33200,2076350,230831
QuickSort,dahu-13.grenoble.grid5000.fr,180493,691587,58324
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8285,98571,7712
MergeSort,dahu-13.grenoble.grid5000.fr,114880,1057431,100934
FrogJump,dahu-13.grenoble.grid5000.fr,5244416,15368613,1557326
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73661,4909350,555910
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2416230,4447987,331536
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,153239,240600,25383
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,833545,1717708,116999
NBody sequential,dahu-13.grenoble.grid5000.fr,33743,2131281,239230
QuickSort,dahu-13.grenoble.grid5000.fr,178915,805174,67320
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8920,167053,15652
MergeSort,dahu-13.grenoble.grid5000.fr,119969,954953,92596
FrogJump,dahu-13.grenoble.grid5000.fr,2260834,14923423,1474431
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73135,4934985,554074
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2430405,4470936,336157
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,153501,359191,25749
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,819831,1587826,119891
NBody sequential,dahu-13.grenoble.grid5000.fr,34497,1759211,136461
QuickSort,dahu-13.grenoble.grid5000.fr,183847,687315,58844
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,7893,0,7711
MergeSort,dahu-13.grenoble.grid5000.fr,125670,1127622,111552
FrogJump,dahu-13.grenoble.grid5000.fr,1822746,15167625,1513965
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72380,4913684,555879
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2431831,4726978,347371
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,158003,462463,35266
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,856295,1980647,133891
NBody sequential,dahu-13.grenoble.grid5000.fr,34413,2142694,239598
QuickSort,dahu-13.grenoble.grid5000.fr,183465,811216,67489
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8288,69580,8094
MergeSort,dahu-13.grenoble.grid5000.fr,113998,943540,95029
FrogJump,dahu-13.grenoble.grid5000.fr,2012875,26444329,2573858
